gene,gene_full,effect_size,cohens_d,pvalue,ecdna_pos_mean,ecdna_neg_mean,ecdna_pos_std,ecdna_neg_std,n_pos,n_neg,fdr,category,vulnerability_score,combined_rank
EDA2R,EDA2R (60401),-0.0112988921460456,-0.1105161384481936,0.2235557698918563,0.1036981056390868,0.1149969977851324,0.1051142443262868,0.0992774026906687,92,970,0.8287423219886508,Other,-0.011599461,17096.0
CLDN14,CLDN14 (23562),-0.0016128955288613,-0.0174882809620501,0.3456458316492692,0.0189760984346154,0.0205889939634767,0.0921151663216611,0.0923391369189955,92,970,0.896308558834208,Other,-0.0028607394,17097.0
CDNF,CDNF (441549),-0.0140319336563601,-0.1135618968946807,0.1407090653924714,0.0578327369144279,0.0718646705707881,0.1239771702837356,0.1231454044434156,92,970,0.774907101904153,Other,-0.013864316,17099.0
IFT20,IFT20 (90410),0.0180101151065973,0.1588622027300148,0.8862757900029439,0.0710304722930445,0.0530203571864471,0.1067433374447837,0.1196290464786717,92,970,0.9999744867960496,Other,0.021574836,17100.0
NOCT,NOCT (25819),-0.0011430712348466,-0.0097626118304639,0.3528857726020856,-0.1052418077241007,-0.104098736489254,0.1140845393841455,0.1200136312049388,92,970,0.8980063570369092,Other,-0.0024082887,17100.0
C11orf21,C11orf21 (29125),-0.0051405151125071,-0.0569645203366995,0.3138549607597158,0.0181506700760901,0.0232911851885972,0.0895451206747446,0.0909308513828384,92,970,0.875805099645188,Other,-0.006452246,17103.0
MTIF2,MTIF2 (4528),0.0227483700496227,0.1822400060192109,0.912164363151621,-0.2064819245874264,-0.2292302946370492,0.1054227549383387,0.1415956210433798,92,970,0.9999744867960496,Other,0.029576106,17104.0
SLC8B1,SLC8B1 (80024),0.002112415567427,0.0225399223056998,0.5196439327446775,-0.0582538448084508,-0.0603662603758778,0.0932397848095469,0.0941954761006543,92,970,0.9578927633919292,Other,0.00090601423,17104.0
IFT46,IFT46 (56912),-0.0061284336318786,-0.0535453055727537,0.4401356923672809,0.0397475956553035,0.0458760292871821,0.1229927345975373,0.1052229768860728,92,970,0.932838042974163,Other,-0.0073798047,17105.0
RNF39,RNF39 (80352),-0.01753038076695,-0.1687975600794835,0.0632406892827075,-0.1013886730326185,-0.0838582922656685,0.1023352717093383,0.1053517590059649,92,970,0.6705587788888792,Other,-0.016280262,17105.0
KANSL3,KANSL3 (55683),0.0273549517564706,0.0887542985340934,0.6139737543495927,-1.0850488766502289,-1.1124038284066995,0.2959149434098048,0.3200328222245326,92,970,0.9775194118232629,Other,0.037120193,17105.0
TUBB,TUBB (203068),0.0348113435004167,0.0578563545603104,0.6738080520283248,-1.529772873590073,-1.5645842170904898,0.6274949955084551,0.5747186179020619,92,970,0.991066869138874,Other,0.047499064,17106.0
PPARA,PPARA (5465),0.0131165865899752,0.1155343161009857,0.9679715020213104,-0.0398650004998686,-0.0529815870898438,0.1214247992199011,0.1050430595234272,92,970,0.9999744867960496,Other,0.014040318,17107.0
HPS5,HPS5 (11234),0.0076110592727376,0.0708277367196126,0.4919837086138698,-0.0103576827978618,-0.0179687420705994,0.0953303248934157,0.1183507090063511,92,970,0.9513809919832344,Other,0.00705366,17108.0
ARRDC1,ARRDC1 (92714),-0.0073232980657849,-0.0621023451379268,0.4129432241767027,-0.0914995588608836,-0.0841762607950986,0.1231431466603108,0.1124609165284985,92,970,0.9233950149335032,Other,-0.008415274,17111.0
STK3,STK3 (6788),0.0252187713082704,0.1599838729959401,0.8409903797267986,-0.2177464023406344,-0.2429651736489048,0.1451347754111867,0.1692109754216651,92,970,0.9999744867960496,Other,0.03353934,17112.0
PIGT,PIGT (51604),-0.0158303297714012,-0.1339927057071397,0.2393758032752522,-0.059343227653725,-0.0435128978823238,0.1260906802113917,0.1096210812239758,92,970,0.8381297636323698,Other,-0.015233511,17112.0
FAM3C,FAM3C (10447),-0.0073146632190299,-0.0944600273993212,0.2562461928874024,0.1063206491554423,0.1136353123744723,0.0755969159522794,0.0792335780012079,92,970,0.8444184973777107,Other,-0.008408103,17112.0
RHOC,RHOC (389),-0.0303786681123009,-0.2226018383266254,0.0223258436561454,-0.2627051563024028,-0.2323264881901018,0.1386579813248738,0.1342481463100107,92,970,0.5660362079116646,Other,-0.0219823,17113.0
PRSS48,PRSS48 (345062),-0.0239390738990217,-0.2610484986738112,0.0065776699935057,0.091223372899945,0.1151624467989668,0.0829959265933803,0.099653189217294,92,970,0.4843884995639521,Other,-0.019433163,17114.0
MAGT1,MAGT1 (84061),0.007265048442765,0.0636854797004752,0.6046900809910084,-0.0160051767953564,-0.0232702252381215,0.109424746794215,0.1185468197283666,92,970,0.9758305929010568,Other,0.0065862467,17116.0
TM4SF1,TM4SF1 (4071),-0.0055079212710362,-0.0504938007828428,0.4711504105328213,-0.0355833871432192,-0.030075465872183,0.1067784062292555,0.1113362540599746,92,970,0.9429878811546484,Other,-0.0068075904,17116.0
SAXO2,SAXO2 (283726),-0.0005987411166731,-0.0058303011594221,0.4301950557574567,-0.0016635639268315,-0.0010648228101584,0.1009187326691787,0.104440501849603,92,970,0.9316194416988188,Other,-0.0019491425,17116.0
CNNM3,CNNM3 (26505),-5.743414839858019e-05,-0.0004162103263937,0.6412835203106989,-0.0795806609990965,-0.0795232268506979,0.132200315765924,0.1435522951779209,92,970,0.9811566410980987,Other,-0.0013798139,17116.0
PLEKHG1,PLEKHG1 (57480),-0.0021704656268495,-0.0219618143103173,0.2153537938542608,0.0675913116374653,0.0697617772643149,0.0876949066184329,0.1088300164576478,92,970,0.8267861337743984,Other,-0.003521378,17121.0
