gene,gene_full,effect_size,cohens_d,pvalue,ecdna_pos_mean,ecdna_neg_mean,ecdna_pos_std,ecdna_neg_std,n_pos,n_neg,fdr,category
ATE1,ATE1 (11101),0.0006240317487017505,0.004292909901281096,0.2089606672102859,0.03869833142920329,0.03807429968050154,0.16785107779103509,0.11868875511713972,92,970,0.8213373287512411,Other
KRTAP22-1,KRTAP22-1 (337979),0.0006266030979523718,0.00625678896834031,0.8041739807836016,0.076532550745669,0.07590594764771663,0.09736768890185833,0.1028526202249532,92,970,0.9999744867960497,Other
CCKAR,CCKAR (886),0.0006286892488638063,0.007129097828230293,0.387387545832729,0.10713062567332753,0.10650193642446372,0.08355490917568402,0.09258643726948272,92,970,0.9130443936984388,Other
SPG21,SPG21 (51324),0.0006297293643288959,0.005128005205949716,0.2797876083081823,-0.15365095867180306,-0.15428068803613196,0.11485507185786434,0.13026504323361304,92,970,0.8585627686102417,Other
RNF5,RNF5 (6048),0.0006324216168361735,0.006164187261846845,0.5808136090448996,-0.08892141651968455,-0.08955383813652072,0.10425646797266498,0.10090843023422477,92,970,0.9725970919717035,Other
ZBTB1,ZBTB1 (22890),0.000636389083713107,0.0049852705929018465,0.594933095244733,-0.046614815680164276,-0.04725120476387738,0.11467263638388978,0.1394317304948423,92,970,0.9747872938442443,Other
FGF2,FGF2 (2247),0.0006364393973466009,0.007019988540261432,0.6547474841207247,0.0151919245232654,0.0145554851259188,0.0857935470278073,0.09528017791795236,92,970,0.9849877719877005,Other
ZNF486,ZNF486 (90649),0.0006386890592553346,0.006469196546215141,0.5129807180295033,-0.12319474928839902,-0.12383343834765435,0.09357684459866798,0.10362288175992722,92,970,0.9566932439772262,Other
PTS,PTS (5805),0.0006390771897677033,0.008217371788691015,0.592449826381535,0.1131938845630709,0.1125548073733032,0.07470095914341374,0.0807252984902159,92,970,0.9743177768156551,Other
KMT2A,KMT2A (4297),0.0006401044693699343,0.0032479872372398106,0.48262387309809496,-0.20367095301551216,-0.2043110574848821,0.19554892615029681,0.19859385945366764,92,970,0.946111923753909,Chromatin
HRCT1,HRCT1 (646962),0.0006453693188037089,0.006771502485996703,0.5048951101936532,0.01914046235891997,0.01849509304011626,0.09235309920208204,0.0981714105262573,92,970,0.9546699940853567,Other
C8orf82,C8orf82 (414919),0.0006497086208794994,0.006281917334973736,0.5855326363841908,-0.08046441986902673,-0.08111412848990623,0.10793097802964312,0.09871399188939559,92,970,0.9736641310139865,Other
AIRE,AIRE (326),0.0006553495432720102,0.008153408548452052,0.5180848800811048,0.0862492199929988,0.08559387044972679,0.0751058654741162,0.0853238096182704,92,970,0.9578109994123841,Other
NPFFR2,NPFFR2 (10886),0.00065552603350362,0.006086520926834224,0.4714334570803612,0.08099771581260408,0.08034218977910046,0.1028385857679089,0.11235369323020743,92,970,0.9429878811546483,Other
FZD3,FZD3 (7976),0.000655536971398047,0.007120467535470182,0.4480032251203636,-0.012891684789549076,-0.013547221760947123,0.09039020188639779,0.0937074223111279,92,970,0.9341282337576647,Other
HAS3,HAS3 (3038),0.0006580129296195423,0.007678863383953422,0.5077325650493171,0.009687101011460046,0.009029088081840504,0.0837026836293514,0.0876350934143201,92,970,0.9546699940853567,Other
PEX16,PEX16 (9409),0.0006594471911470917,0.005568572946460793,0.5755256412995693,-0.03131702692757766,-0.03197647411872475,0.1158328226489738,0.12095775136142965,92,970,0.9720941660312962,Other
BABAM1,BABAM1 (29086),0.0006604960875892796,0.006147029768500141,0.6687926984601309,0.13183536987355535,0.13117487378596607,0.11224544865730508,0.102429518032976,92,970,0.989273579644433,Other
